Using TensorFlow backend.
Loading caffemodel:  ./cnnseg/velodyne64/deploy.caffemodel
Generation average: -0.14165, best fitness:  -0.13981
***Doing generation 339 of 400***
Generation average: -0.14133, best fitness:  -0.13960
***Doing generation 340 of 400***
Generation average: -0.14088, best fitness:  -0.13828
***Doing generation 341 of 400***
Generation average: -0.14075, best fitness:  -0.13828
***Doing generation 342 of 400***
Generation average: -0.14043, best fitness:  -0.13807
***Doing generation 343 of 400***
Generation average: -0.14086, best fitness:  -0.13770
***Doing generation 344 of 400***
Generation average: -0.14102, best fitness:  -0.13770
***Doing generation 345 of 400***
Generation average: -0.13990, best fitness:  -0.13671
***Doing generation 346 of 400***
Generation average: -0.13882, best fitness:  -0.13610
***Doing generation 347 of 400***
Generation average: -0.13891, best fitness:  -0.13610
***Doing generation 348 of 400***
Generation average: -0.13877, best fitness:  -0.13608
***Doing generation 349 of 400***
Generation average: -0.13763, best fitness:  -0.13451
***Doing generation 350 of 400***
Generation average: -0.13735, best fitness:  -0.13442
***Doing generation 351 of 400***
Generation average: -0.13768, best fitness:  -0.13415
***Doing generation 352 of 400***
Generation average: -0.13680, best fitness:  -0.13415
***Doing generation 353 of 400***
Generation average: -0.13637, best fitness:  -0.13415
***Doing generation 354 of 400***
Generation average: -0.13552, best fitness:  -0.13204
***Doing generation 355 of 400***
Generation average: -0.13636, best fitness:  -0.13204
***Doing generation 356 of 400***
Generation average: -0.13494, best fitness:  -0.13173
***Doing generation 357 of 400***
Generation average: -0.13365, best fitness:  -0.13173
***Doing generation 358 of 400***
Generation average: -0.13293, best fitness:  -0.13173
***Doing generation 359 of 400***
Generation average: -0.13346, best fitness:  -0.13147
***Doing generation 360 of 400***
Generation average: -0.13291, best fitness:  -0.13147
***Doing generation 361 of 400***
Generation average: -0.13321, best fitness:  -0.13147
***Doing generation 362 of 400***
Generation average: -0.13231, best fitness:  -0.13147
***Doing generation 363 of 400***
Generation average: -0.13289, best fitness:  -0.13147
***Doing generation 364 of 400***
Generation average: -0.13285, best fitness:  -0.13147
***Doing generation 365 of 400***
Generation average: -0.13251, best fitness:  -0.13147
***Doing generation 366 of 400***
Generation average: -0.13191, best fitness:  -0.13147
***Doing generation 367 of 400***
Generation average: -0.13254, best fitness:  -0.13147
***Doing generation 368 of 400***
Generation average: -0.13267, best fitness:  -0.12983
***Doing generation 369 of 400***
Generation average: -0.13302, best fitness:  -0.12982
***Doing generation 370 of 400***
